seed,fold,method,protocol_sha256,measurement_macro_f1,measurement_balanced_accuracy,measurement_accuracy,bearing_macro_f1,bearing_accuracy,D_reliability_spearman,D_reliability_jaccard,budget_error,training_seconds,peak_gpu_mib
7,3,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.6088888888888889,0.6333333333333333,0.6333333333333333,0.5555555555555555,0.6666666666666666,0.9910589336968363,0.8894009216589862,0.0,42.481042800005525,532.5068359375
7,3,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.6002952364730597,0.6333333333333334,0.6333333333333333,0.5555555555555555,0.6666666666666666,0.9910589336968363,0.8894009216589862,0.0,42.305138600000646,532.5068359375
7,4,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.5555555555555555,0.6666666666666666,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.9719898063377139,0.849624060150376,0.0,42.77940189999936,532.5068359375
7,4,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7347323982219915,0.775,0.775,0.5555555555555555,0.6666666666666666,0.9719898063377139,0.849624060150376,0.0,42.77492939999502,532.5068359375
7,4,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.7347323982219915,0.775,0.775,0.5555555555555555,0.6666666666666666,0.9719898063377139,0.849624060150376,0.0,42.690251099993475,532.5068359375
42,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.4962962962962963,0.5833333333333334,0.5833333333333334,0.5555555555555555,0.6666666666666666,0.832659055223994,0.6099476439790575,0.0,42.61636090000684,532.5068359375
42,0,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.4962962962962963,0.5833333333333334,0.5833333333333334,0.5555555555555555,0.6666666666666666,0.832659055223994,0.6099476439790575,0.0,42.629113599992706,532.5068359375
42,0,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.4962962962962963,0.5833333333333334,0.5833333333333334,0.5555555555555555,0.6666666666666666,0.832659055223994,0.6099476439790575,0.0,42.685525799999596,532.5068359375
42,1,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3384615384615384,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.8542025700929365,0.64,1.862645149230957e-09,42.651211599993985,532.5068359375
42,1,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,0.3376756066411239,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.8542025700929365,0.64,1.862645149230957e-09,42.7011627000029,532.5068359375
